gene,bnumber,uniprot_accession,tf_entities,tf_regulondb_ids,num_tf_entities,regulondb_version
yeiE,b2157,P0ACR4,YeiE,RDBECOLITFC00139,1,14.5
yeiL,b2163,P0A9E9,YeiL,RDBECOLITFC00025,1,14.5
narP,b2193,P31802,NarP,RDBECOLITFC00044,1,14.5
ada,b2213,P06134,Ada,RDBECOLITFC00201,1,14.5
rcsB,b2217,P0DMC7,RcsB-BglJ|GadRcs|RcsAB|RcsB,RDBECOLITFC00153|RDBECOLITFC00164|RDBECOLITFC00173|RDBECOLITFC00222,4,14.5
atoC,b2220,Q06065,AtoC,RDBECOLITFC00174,1,14.5
lrhA,b2289,P36771,LrhA,RDBECOLITFC00230,1,14.5
dsdC,b2364,P46068,DsdC,RDBECOLITFC00243,1,14.5
evgA,b2369,P0ACZ4,EvgA,RDBECOLITFC00029,1,14.5
pyrR,b2381,P0AE39,PyrR,RDBECOLITFC00216,1,14.5
yfeC,b2398,P0AD37,YfeC,RDBECOLITFC00097,1,14.5
xapR,b2405,P23841,XapR,RDBECOLITFC00119,1,14.5
murR,b2427,P77245,MurR,RDBECOLITFC00069,1,14.5
hyfR,b2491,P71229,HyfR,RDBECOLITFC00080,1,14.5
iscR,b2531,P0AGK8,IscR,RDBECOLITFC00105,1,14.5
hcaR,b2537,Q47141,HcaR,RDBECOLITFC00037,1,14.5
glrR,b2554,P0AFU4,GlrR,RDBECOLITFC00083,1,14.5
alpA,b2624,P33997,AlpA,RDBECOLITFC00135,1,14.5
glaR,b2664,P37338,GlaR,RDBECOLITFC00079,1,14.5
ygaV,b2667,P77295,YgaV,RDBECOLITFC00113,1,14.5
stpA,b2669,P0ACG1,StpA,RDBECOLITFC00061,1,14.5
mprA,b2684,P0ACR9,MprA,RDBECOLITFC00026,1,14.5
alaS,b2697,P00957,AlaS,RDBECOLITFC00016,1,14.5
gutM,b2706,P15081,GutM,RDBECOLITFC00200,1,14.5
srlR,b2707,P15082,SrlR,RDBECOLITFC00089,1,14.5
norR,b2709,P37013,NorR,RDBECOLITFC00093,1,14.5
ascG,b2714,P24242,AscG,RDBECOLITFC00102,1,14.5
fhlA,b2731,P19323,FhlA,RDBECOLITFC00066,1,14.5
ygbI,b2735,P52598,YgbI,RDBECOLITFC00106,1,14.5
mazF,b2782,P0AE70,MazEF,RDBECOLITFC00067,1,14.5
mazE,b2783,P0AE72,MazE|MazEF,RDBECOLITFC00041|RDBECOLITFC00067,2,14.5
fucR,b2805,P0ACK8,FucR,RDBECOLITFC00167,1,14.5
gcvA,b2808,P0A9F6,GcvA,RDBECOLITFC00213,1,14.5
galR,b2837,P03024,GalR,RDBECOLITFC00064,1,14.5
lysR,b2839,P03030,LysR,RDBECOLITFC00101,1,14.5
argP,b2916,P0A8S1,ArgP,RDBECOLITFC00017,1,14.5
srsR,b2921,P52044,SrsR,RDBECOLITFC00024,1,14.5
glcC,b2980,P0ACL5,GlcC,RDBECOLITFC00018,1,14.5
yqhC,b3010,Q46855,YqhC,RDBECOLITFC00055,1,14.5
mqsA,b3021,Q46864,MqsA,RDBECOLITFC00144,1,14.5
ygiV,b3023,Q46866,YgiV,RDBECOLITFC00073,1,14.5
qseB,b3025,P52076,QseB,RDBECOLITFC00085,1,14.5
ttdR,b3060,P45463,Dan,RDBECOLITFC00143,1,14.5
nfeR,b3071,P64588,NfeR,RDBECOLITFC00039,1,14.5
ebgR,b3075,P06846,EbgR,RDBECOLITFC00145,1,14.5
higA,b3082,P67701,HigA|HigBA,RDBECOLITFC00158|RDBECOLITFC00217,2,14.5
higB,b3083,P64578,HigBA,RDBECOLITFC00217,1,14.5
exuR,b3094,P0ACL2,ExuR,RDBECOLITFC00115,1,14.5
yhaJ,b3105,P67660,YhaJ,RDBECOLITFC00120,1,14.5
tdcA,b3118,P0ACQ7,TdcA,RDBECOLITFC00028,1,14.5
tdcR,b3119,P11866,TdcR,RDBECOLITFC00179,1,14.5
agaR,b3131,P0ACK2,AgaR,RDBECOLITFC00197,1,14.5
rpoN,b3202,P24255,RpoN,RDBECOLITFC00176,1,14.5
nanR,b3226,P0A8W0,NanR,RDBECOLITFC00238,1,14.5
argR,b3237,P0A6D0,ArgR,RDBECOLITFC00009,1,14.5
aaeR,b3243,P67662,AaeR,RDBECOLITFC00203,1,14.5
accB,b3255,P0ABD8,AccB,RDBECOLITFC00147,1,14.5
fis,b3261,P0A6R3,Fis,RDBECOLITFC00190,1,14.5
envR,b3264,P0ACT2,EnvR,RDBECOLITFC00117,1,14.5
zntR,b3292,P0ACS5,ZntR,RDBECOLITFC00125,1,14.5
crp,b3357,P0ACJ8,CRP|CRP-Sxy,RDBECOLITFC00086|RDBECOLITFC00096,2,14.5
frlR,b3375,P45544,FrlR,RDBECOLITFC00112,1,14.5
ompR,b3405,P0AA16,OmpR,RDBECOLITFC00078,1,14.5
malT,b3418,P06993,MalT,RDBECOLITFC00232,1,14.5
rtcR,b3422,P38035,RtcR,RDBECOLITFC00226,1,14.5
glpR,b3423,P0ACL0,GlpR,RDBECOLITFC00090,1,14.5
gntR,b3438,P0ACP5,GntR,RDBECOLITFC00235,1,14.5
nikR,b3481,P0A6Z6,NikR,RDBECOLITFC00142,1,14.5
arsR,b3501,P37309,ArsR,RDBECOLITFC00205,1,14.5
gadE,b3512,P63204,GadE|GadRcs,RDBECOLITFC00128|RDBECOLITFC00164,2,14.5
gadW,b3515,P63201,GadW,RDBECOLITFC00032,1,14.5
gadX,b3516,P37639,GadX,RDBECOLITFC00094,1,14.5
cspA,b3556,P0A9X9,CspA,RDBECOLITFC00040,1,14.5
